,date,total_population,total_doses_administered,total_individuals_at_least_one,total_individuals_fully_vaccinated,total_individuals_3doses,previous_day_total_doses_administered,previous_day_at_least_one,previous_day_fully_vaccinated,previous_day_3doses,active_cases,deaths,resolved_cases,percent_at_least_one,percent_fully_vaccinated,percent_3doses,active_cases_per100k,deaths_per100k,resolved_cases_per100k
401,2022-02-03,14010998,30832550,12481443.0,11770908.0,6493523.0,60241.0,6236.0,14749.0,35809.0,39656,11219,993048,89.08318308231861,84.01191692411918,46.345899128670204,283.0347988059095,80.07281137289435,7087.632158679917
402,2022-02-04,14010998,30882982,12486785.0,11784543.0,6522406.0,50432.0,5342.0,13635.0,28883.0,38021,11272,998677,89.12131027354368,84.10923333227225,46.55204432974725,271.36539452792726,80.45108564000937,7127.807740747662
403,2022-02-05,14010998,30949011,12493035.0,11802058.0,6561032.0,66029.0,6250.0,17515.0,38626.0,36524,11329,1003321,89.16591808806197,84.2342422716783,46.82772776072054,260.68093079450875,80.85790890841609,7160.953131247325
404,2022-02-06,14010998,31000758,12497728.0,11818936.0,6590502.0,51747.0,4693.0,16878.0,29470.0,34914,11382,1007765,89.19941320382745,84.35470478262862,47.03806252773714,249.18995777459966,81.23618317553111,7192.671071682402
405,2022-02-07,14010998,31025150,12499995.0,11827116.0,6604089.0,24392.0,2267.0,8180.0,13587.0,33435,11392,1011322,89.21559335030952,84.41308749027014,47.13503634787472,238.63396454699375,81.30755567876035,7218.058271081046
406,2022-02-08,14010998,31064758,12504270.0,11836876.0,6627305.0,39608.0,4275.0,9760.0,23216.0,32078,11431,1014732,89.24610509544002,84.48274705342189,47.30073475137174,228.94871585878465,81.58590844135442,7242.39629468222
407,2022-02-09,14010998,31105664,12508829.0,11847856.0,6650287.0,40906.0,4559.0,10980.0,22982.0,30182,11493,1019728,89.27864381966224,84.5611140619676,47.464763038293206,215.41648924651903,82.02841796137577,7278.053997295553
408,2022-02-10,14010998,31153087,12514311.0,11860148.0,6676169.0,47423.0,5482.0,12292.0,25882.0,29196,11536,1023872,89.31777022593252,84.648845142937,47.649489351151146,208.37916042811509,82.33531972526154,7307.630762633755
409,2022-02-11,14010998,31199694,12519584.0,11873612.0,6700373.0,46607.0,5273.0,13464.0,24204.0,28354,11585,1027572,89.3554049468853,84.74494108128486,47.82223935796722,202.36959565621237,82.68504499108485,7334.0385888285755
410,2022-02-12,14010998,31248014,12524826.0,11887639.0,6726615.0,48320.0,5242.0,14027.0,26242.0,27957,11615,1030883,89.39281841307806,84.84505529156453,48.00953508094141,199.53610727801114,82.8991625007726,7357.67002464778
411,2022-02-13,14010998,31285560,12528319.0,11901176.0,6746556.0,37546.0,3493.0,13537.0,19941.0,27032,11632,1034056,89.41774882845604,84.94167224918596,48.15185898963086,192.93415072930566,83.02049575626233,7380.316519922421
412,2022-02-14,14010998,31303825,12530006.0,11907730.0,6760917.0,18265.0,1687.0,6554.0,14361.0,26170,11639,1036676,89.42978936975082,84.98844978780241,48.25435704151839,186.7818409509444,83.0704565085228,7399.016115768483
413,2022-02-15,14010998,31329083,12533375.0,11914979.0,6773871.0,25258.0,3369.0,7249.0,12954.0,25014,11656,1039408,89.45383476608876,85.04018771539329,48.346812982201556,178.5311795776432,83.19178976401253,7418.515083650715
414,2022-02-16,14010998,31360818,12536978.0,11925063.0,6789828.0,31735.0,3603.0,10084.0,15957.0,23962,11702,1042946,89.47955027900225,85.11215974764966,48.46070208560447,171.02279223792624,83.52010327886707,7443.766675293223
415,2022-02-17,14010998,31393742,12540899.0,11935389.0,6805991.0,32924.0,3921.0,10326.0,16163.0,23048,11738,1046151,89.50753543751844,85.18585899448419,48.5760614625739,164.4993454427729,83.77704429049237,7466.641562578198
416,2022-02-18,14010998,31424288,12544371.0,11944792.0,6821049.0,30546.0,3472.0,9403.0,15058.0,22413,11770,1049091,89.53231597063963,85.25297055927066,48.68353417793651,159.96719148771558,84.00543630082596,7487.625078527596
