date,phu_name,at_least_one_dose_cumulative,fully_vaccinated_cumulative,third_dose_cumulative,total_population,percent_at_least_one_dose,percent_fully_vaccinated,percent_3doses,phu_num,active_cases,resolved_cases,deaths,archived_resolved_cases,archived_deaths,percent_active_cases,percent_deaths,percent_resolved_cases
2022-01-06,HALDIMAND-NORFOLK,91893.0,86860.0,32535.0,114141,80.51,76.1,28.499999999999996,2234,846,3995,61,3988.0,68.0,0.7411885299760822,0.05344267178314541,3.500056947109277
2022-01-06,"HALIBURTON, KAWARTHA, PINE RIDGE",157039.0,148275.0,63218.0,183151,85.74000000000001,80.96,34.52,2235,1254,3003,62,2999.0,66.0,0.6846809463229794,0.03385184902075337,1.639630687247135
2022-01-06,HALTON REGION,519043.0,480573.0,162986.0,579551,89.56,82.92,28.12,2236,6222,24087,226,24069.0,244.0,1.0735897272198651,0.038995705295996386,4.156148466657809
2022-01-06,CITY OF HAMILTON,471282.0,442149.0,168842.0,552042,85.37,80.08999999999999,30.580000000000002,2237,6667,29352,419,29344.0,427.0,1.2076979650099087,0.07590002209976777,5.316986751008076
2022-01-06,HASTINGS & PRINCE EDWARD COUNTIES,138136.0,128961.0,58884.0,164832,83.8,78.24,35.72,2238,1492,2750,20,2750.0,20.0,0.9051640458163464,0.01213356629780625,1.6683653659483595
2022-01-06,CHATHAM-KENT,84573.0,79524.0,37162.0,101565,83.27,78.3,36.59,2240,626,3542,38,3540.0,40.0,0.6163540589770098,0.037414463643971836,3.4874218480775854
2022-01-06,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",183279.0,168792.0,96487.0,200252,91.52,84.28999999999999,48.18,2241,1890,5316,23,5316.0,23.0,0.9438107983940236,0.011485528234424624,2.6546551345304916
2022-01-06,LAMBTON COUNTY,102572.0,97060.0,30395.0,126574,81.04,76.68,24.01,2242,1360,5047,81,5044.0,84.0,1.0744702703556812,0.06399418521971337,3.987390775356708
2022-01-06,"LEEDS, GRENVILLE AND LANARK DISTRICT",159467.0,150303.0,63586.0,172131,92.64,87.32,36.94,2243,1401,2868,65,2868.0,65.0,0.8139149833557,0.037761937129279444,1.6661728567195917
2022-01-06,MIDDLESEX-LONDON,435071.0,405960.0,142315.0,485049,89.7,83.69,29.34,2244,4506,17708,257,17706.0,259.0,0.9289783094079155,0.05298433766485448,3.6507651804250703
2022-01-06,NIAGARA REGION,394062.0,370163.0,122512.0,460171,85.63,80.44,26.619999999999997,2246,3584,20692,448,20687.0,453.0,0.7788409091402979,0.09735511364253724,4.496589311364688
2022-01-06,NORTH BAY PARRY SOUND DISTRICT,104528.0,98342.0,45648.0,123747,84.47,79.47,36.89,2247,627,1232,9,1232.0,9.0,0.5066789497927222,0.0072729035855414684,0.9955796908207877
2022-01-06,NORTHWESTERN,71227.0,64689.0,25449.0,76333,93.31,84.75,33.339999999999996,2249,589,1522,10,1521.0,11.0,0.7716190900396945,0.0131004938886196,1.993895169847903
